YEAR,YEAR_LONG,COUNTY_CODE,COUNTY_NAME,DISTRICT_CODE,DISTRICT_NAME,PK12_ENROLLMENT,PK_FULL_ENROLLMENT,PK_HALF_ENROLLMENT,PK_ENROLLMENT,K12_ENROLLMENT,CHG_PK12_ENROLLMENT,PCT_CHG_PK12_ENROLLMENT,CHG_10YR_PK12_ENROLLMENT,PCT_CHG_10Y_PK12_ENROLLMENT,CHG_K12_ENROLLMENT,PCT_CHG_K12_ENROLLMENT,CHG_10Y_K12_ENROLLMENT,PCT_CHG_10Y_K12_ENROLLMENT
2014,2014-15,05,Burlington,1520,Florence Township School District,1598,0,0,0,1598,-11,-0.006836544437538894,NA,NA,1,6.261740763933155e-4,NA,NA
2015,2015-16,05,Burlington,1520,Florence Township School District,1578,0,0,0,1578,-20,-0.01251564455569465,NA,NA,-20,-0.01251564455569465,NA,NA
2016,2016-17,05,Burlington,1520,Florence Township School District,1583,0,0,0,1583,5,0.003168567807350975,NA,NA,5,0.003168567807350975,NA,NA
2017,2017-18,05,Burlington,1520,Florence Township School District,1557,0,19,19,1538,-26,-0.016424510423246996,NA,NA,-45,-0.028427037271004374,NA,NA
2018,2018-19,05,Burlington,1520,Florence Township School District,1542,0,20,20,1522,-15,-0.009633911368015391,NA,NA,-16,-0.01040312093628093,NA,NA
2019,2019-20,05,Burlington,1520,Florence Township School District,1553,0,37,37,1516,11,0.007133592736705552,NA,NA,-6,-0.003942181340341633,NA,NA
2020,2020-21,05,Burlington,1520,Florence Township School District,1465,0,16,16,1449,-88,-0.056664520283322584,NA,NA,-67,-0.04419525065963059,NA,NA
2021,2021-22,05,Burlington,1520,Florence Township School District,1523,0,28,28,1495,58,0.03959044368600684,NA,NA,46,0.031746031746031855,NA,NA
2022,2022-23,05,Burlington,1520,Florence Township School District,1506,0,13,13,1493,-17,-0.01116217990807622,-87,-0.05461393596986819,-2,-0.0013377926421405117,-100,-0.06277463904582548
2023,2023-24,05,Burlington,1520,Florence Township School District,1445,0,35,35,1410,-61,-0.040504648074369154,-164,-0.1019266625233064,-83,-0.055592766242464786,-187,-0.11709455228553534
2012,2012-13,05,Burlington,1910,Hainesport Township School District,695,0,15,15,680,NA,NA,NA,NA,NA,NA,NA,NA
2013,2013-14,05,Burlington,1910,Hainesport Township School District,669,0,13,13,656,-26,-0.037410071942446055,NA,NA,-24,-0.03529411764705881,NA,NA
2014,2014-15,05,Burlington,1910,Hainesport Township School District,652,0,23,23,629,-17,-0.025411061285500747,NA,NA,-27,-0.041158536585365835,NA,NA
2015,2015-16,05,Burlington,1910,Hainesport Township School District,613,0,10,10,603,-39,-0.059815950920245387,NA,NA,-26,-0.04133545310015896,NA,NA
2016,2016-17,05,Burlington,1910,Hainesport Township School District,614,0,13,13,601,1,0.0016313213703098572,NA,NA,-2,-0.0033167495854062867,NA,NA
2017,2017-18,05,Burlington,1910,Hainesport Township School District,594,0,13,13,581,-20,-0.032573289902280145,NA,NA,-20,-0.03327787021630613,NA,NA
2018,2018-19,05,Burlington,1910,Hainesport Township School District,572,0,14,14,558,-22,-0.03703703703703709,NA,NA,-23,-0.03958691910499135,NA,NA
2019,2019-20,05,Burlington,1910,Hainesport Township School District,559,0,16,16,543,-13,-0.022727272727272707,NA,NA,-15,-0.026881720430107503,NA,NA
2020,2020-21,05,Burlington,1910,Hainesport Township School District,512,0,2,2,510,-47,-0.08407871198568873,NA,NA,-33,-0.06077348066298338,NA,NA
2021,2021-22,05,Burlington,1910,Hainesport Township School District,550,0,16,16,534,38,0.07421875,NA,NA,24,0.04705882352941182,NA,NA
2022,2022-23,05,Burlington,1910,Hainesport Township School District,526,0,14,14,512,-24,-0.043636363636363584,-169,-0.2431654676258993,-22,-0.041198501872659166,-168,-0.24705882352941178
2023,2023-24,05,Burlington,1910,Hainesport Township School District,532,6,19,25,507,6,0.011406844106463865,-137,-0.20478325859491775,-5,-0.009765625,-149,-0.22713414634146345
2012,2012-13,05,Burlington,2610,Lenape Regional High School District,7064,0,0,0,7064,NA,NA,NA,NA,NA,NA,NA,NA
2013,2013-14,05,Burlington,2610,Lenape Regional High School District,6976,0,0,0,6976,-88,-0.01245753114382786,NA,NA,-88,-0.01245753114382786,NA,NA
2014,2014-15,05,Burlington,2610,Lenape Regional High School District,6841,0,0,0,6841,-135,-0.01935206422018354,NA,NA,-135,-0.01935206422018354,NA,NA
2015,2015-16,05,Burlington,2610,Lenape Regional High School District,6756,0,0,0,6756,-85,-0.012425084052039126,NA,NA,-85,-0.012425084052039126,NA,NA
2016,2016-17,05,Burlington,2610,Lenape Regional High School District,6764,0,0,0,6764,8,0.001184132622853662,NA,NA,8,0.001184132622853662,NA,NA
2017,2017-18,05,Burlington,2610,Lenape Regional High School District,6739,0,0,0,6739,-25,-0.003696037847427558,NA,NA,-25,-0.003696037847427558,NA,NA
2018,2018-19,05,Burlington,2610,Lenape Regional High School District,6773,0,0,0,6773,34,0.005045258940495678,NA,NA,34,0.005045258940495678,NA,NA
2019,2019-20,05,Burlington,2610,Lenape Regional High School District,6807,0,0,0,6807,34,0.005019932083271783,NA,NA,34,0.005019932083271783,NA,NA
2020,2020-21,05,Burlington,2610,Lenape Regional High School District,6783,0,0,0,6783,-24,-0.003525782282943979,NA,NA,-24,-0.003525782282943979,NA,NA
2021,2021-22,05,Burlington,2610,Lenape Regional High School District,6615,0,0,0,6615,-168,-0.024767801857585092,NA,NA,-168,-0.024767801857585092,NA,NA
2022,2022-23,05,Burlington,2610,Lenape Regional High School District,6554,0,0,0,6554,-61,-0.009221466364323527,-510,-0.07219705549263877,-61,-0.009221466364323527,-510,-0.07219705549263877
2023,2023-24,05,Burlington,2610,Lenape Regional High School District,6485,0,0,0,6485,-69,-0.010527921879768032,-491,-0.07038417431192656,-69,-0.010527921879768032,-491,-0.07038417431192656
2012,2012-13,05,Burlington,2850,Lumberton Township Board Of Education,1532,0,0,0,1532,NA,NA,NA,NA,NA,NA,NA,NA
2013,2013-14,05,Burlington,2850,Lumberton Township Board Of Education,1502,0,0,0,1502,-30,-0.019582245430809442,NA,NA,-30,-0.019582245430809442,NA,NA
2014,2014-15,05,Burlington,2850,Lumberton Township Board Of Education,1470,0,0,0,1470,-32,-0.02130492676431428,NA,NA,-32,-0.02130492676431428,NA,NA
2015,2015-16,05,Burlington,2850,Lumberton Township Board Of Education,1376,0,0,0,1376,-94,-0.06394557823129254,NA,NA,-94,-0.06394557823129254,NA,NA
2016,2016-17,05,Burlington,2850,Lumberton Township Board Of Education,1332,0,0,0,1332,-44,-0.03197674418604646,NA,NA,-44,-0.03197674418604646,NA,NA
2017,2017-18,05,Burlington,2850,Lumberton Township Board Of Education,1259,0,0,0,1259,-73,-0.05480480480480476,NA,NA,-73,-0.05480480480480476,NA,NA
2018,2018-19,05,Burlington,2850,Lumberton Township Board Of Education,1216,0,0,0,1216,-43,-0.03415409054805396,NA,NA,-43,-0.03415409054805396,NA,NA
2019,2019-20,05,Burlington,2850,Lumberton Township Board Of Education,1177,0,0,0,1177,-39,-0.032072368421052655,NA,NA,-39,-0.032072368421052655,NA,NA
2020,2020-21,05,Burlington,2850,Lumberton Township Board Of Education,1088,0,0,0,1088,-89,-0.07561597281223453,NA,NA,-89,-0.07561597281223453,NA,NA
2021,2021-22,05,Burlington,2850,Lumberton Township Board Of Education,1124,82,0,82,1042,36,0.03308823529411775,NA,NA,-46,-0.04227941176470584,NA,NA
2022,2022-23,05,Burlington,2850,Lumberton Township Board Of Education,1210,132,0,132,1078,86,0.07651245551601416,-322,-0.21018276762402088,36,0.03454894433781197,-454,-0.2963446475195822
2023,2023-24,05,Burlington,2850,Lumberton Township Board Of Education,1170,137,0,137,1033,-40,-0.03305785123966942,-332,-0.2210386151797603,-45,-0.04174397031539889,-469,-0.3122503328894807
2012,2012-13,05,Burlington,2960,Mansfield Township School District,700,0,8,8,692,NA,NA,NA,NA,NA,NA,NA,NA
2013,2013-14,05,Burlington,2960,Mansfield Township School District,714,0,13,13,701,14,0.020000000000000018,NA,NA,9,0.013005780346820872,NA,NA
2014,2014-15,05,Burlington,2960,Mansfield Township School District,658,0,9,9,649,-56,-0.07843137254901966,NA,NA,-52,-0.07417974322396581,NA,NA
2015,2015-16,05,Burlington,2960,Mansfield Township School District,623,0,0,0,623,-35,-0.05319148936170215,NA,NA,-26,-0.04006163328197232,NA,NA
2016,2016-17,05,Burlington,2960,Mansfield Township School District,596,0,0,0,596,-27,-0.043338683788122,NA,NA,-27,-0.043338683788122,NA,NA
2017,2017-18,05,Burlington,2960,Mansfield Township School District,560,1,0,1,559,-36,-0.06040268456375841,NA,NA,-37,-0.06208053691275173,NA,NA
2018,2018-19,05,Burlington,2960,Mansfield Township School District,536,11,0,11,525,-24,-0.042857142857142816,NA,NA,-34,-0.06082289803220031,NA,NA
2019,2019-20,05,Burlington,2960,Mansfield Township School District,544,10,0,10,534,8,0.014925373134328401,NA,NA,9,0.017142857142857126,NA,NA
2020,2020-21,05,Burlington,2960,Mansfield Township School District,499,10,0,10,489,-45,-0.08272058823529416,NA,NA,-45,-0.0842696629213483,NA,NA
2021,2021-22,05,Burlington,2960,Mansfield Township School District,511,15,0,15,496,12,0.024048096192384794,NA,NA,7,0.014314928425357865,NA,NA
2022,2022-23,05,Burlington,2960,Mansfield Township School District,548,26,0,26,522,37,0.07240704500978468,-152,-0.2171428571428572,26,0.05241935483870974,-170,-0.24566473988439308
2023,2023-24,05,Burlington,2960,Mansfield Township School District,549,28,3,31,518,1,0.0018248175182482562,-165,-0.23109243697478987,-4,-0.007662835249042099,-183,-0.261055634807418
2012,2012-13,05,Burlington,3010,Maple Shade School District,2080,0,0,0,2080,NA,NA,NA,NA,NA,NA,NA,NA
2013,2013-14,05,Burlington,3010,Maple Shade School District,2163,0,0,0,2163,83,0.03990384615384612,NA,NA,83,0.03990384615384612,NA,NA
2014,2014-15,05,Burlington,3010,Maple Shade School District,2226,0,0,0,2226,63,0.029126213592232997,NA,NA,63,0.029126213592232997,NA,NA
2015,2015-16,05,Burlington,3010,Maple Shade School District,2180,1,0,1,2179,-46,-0.020664869721473522,NA,NA,-47,-0.021114106019766377,NA,NA
2016,2016-17,05,Burlington,3010,Maple Shade School District,2155,0,0,0,2155,-25,-0.011467889908256867,NA,NA,-24,-0.011014226709499808,NA,NA
2017,2017-18,05,Burlington,3010,Maple Shade School District,2155,0,7,7,2148,0,0,NA,NA,-7,-0.0032482598607889157,NA,NA
2018,2018-19,05,Burlington,3010,Maple Shade School District,2192,0,15,15,2177,37,0.017169373549883904,NA,NA,29,0.013500931098696434,NA,NA
2019,2019-20,05,Burlington,3010,Maple Shade School District,2346,155,0,155,2191,154,0.07025547445255476,NA,NA,14,0.006430868167202508,NA,NA
2020,2020-21,05,Burlington,3010,Maple Shade School District,2323,140,0,140,2183,-23,-0.009803921568627416,NA,NA,-8,-0.003651300775901367,NA,NA
2021,2021-22,05,Burlington,3010,Maple Shade School District,2329,178,0,178,2151,6,0.00258286698235044,NA,NA,-32,-0.01465872652313327,NA,NA
2022,2022-23,05,Burlington,3010,Maple Shade School District,2403,155,0,155,2248,74,0.03177329325890943,323,0.15528846153846154,97,0.045095304509530365,168,0.0807692307692307
2023,2023-24,05,Burlington,3010,Maple Shade School District,2412,169,0,169,2243,9,0.0037453183520599342,249,0.11511789181692089,-5,-0.0022241992882562345,80,0.03698566805362913
2012,2012-13,05,Burlington,3070,Medford Lakes School District,536,0,14,14,522,NA,NA,NA,NA,NA,NA,NA,NA
2013,2013-14,05,Burlington,3070,Medford Lakes School District,527,0,19,19,508,-9,-0.016791044776119368,NA,NA,-14,-0.026819923371647514,NA,NA
2014,2014-15,05,Burlington,3070,Medford Lakes School District,536,0,13,13,523,9,0.017077798861480087,NA,NA,15,0.029527559055118058,NA,NA
2015,2015-16,05,Burlington,3070,Medford Lakes School District,540,0,9,9,531,4,0.00746268656716409,NA,NA,8,0.015296367112810794,NA,NA
2016,2016-17,05,Burlington,3070,Medford Lakes School District,547,0,13,13,534,7,0.012962962962963065,NA,NA,3,0.005649717514124353,NA,NA
2017,2017-18,05,Burlington,3070,Medford Lakes School District,538,0,12,12,526,-9,-0.01645338208409508,NA,NA,-8,-0.014981273408239737,NA,NA
2018,2018-19,05,Burlington,3070,Medford Lakes School District,514,0,6,6,508,-24,-0.044609665427509326,NA,NA,-18,-0.034220532319391594,NA,NA
2019,2019-20,05,Burlington,3070,Medford Lakes School District,527,0,26,26,501,13,0.02529182879377423,NA,NA,-7,-0.013779527559055094,NA,NA
2020,2020-21,05,Burlington,3070,Medford Lakes School District,486,0,5,5,481,-41,-0.07779886148007586,NA,NA,-20,-0.03992015968063867,NA,NA
2021,2021-22,05,Burlington,3070,Medford Lakes School District,485,0,19,19,466,-1,-0.002057613168724326,NA,NA,-15,-0.03118503118503113,NA,NA
2022,2022-23,05,Burlington,3070,Medford Lakes School District,484,0,21,21,463,-1,-0.0020618556701030855,-52,-0.09701492537313428,-3,-0.006437768240343367,-59,-0.1130268199233716
2023,2023-24,05,Burlington,3070,Medford Lakes School District,487,0,22,22,465,3,0.006198347107438051,-40,-0.0759013282732448,2,0.004319654427645814,-43,-0.08464566929133854
2012,2012-13,05,Burlington,3080,Medford Township School District,2926,0,45,45,2881,NA,NA,NA,NA,NA,NA,NA,NA
2013,2013-14,05,Burlington,3080,Medford Township School District,2803,0,29,29,2774,-123,-0.042036910457963095,NA,NA,-107,-0.03713988198542173,NA,NA
2014,2014-15,05,Burlington,3080,Medford Township School District,2731,0,38,38,2693,-72,-0.02568676418123439,NA,NA,-81,-0.02919971160778656,NA,NA
2015,2015-16,05,Burlington,3080,Medford Township School District,2718,0,40,40,2678,-13,-0.004760161113145367,NA,NA,-15,-0.005569996286669099,NA,NA
2016,2016-17,05,Burlington,3080,Medford Township School District,2745,1,39,40,2705,27,0.009933774834437026,NA,NA,27,0.010082150858849781,NA,NA
2017,2017-18,05,Burlington,3080,Medford Township School District,2712,0,50,50,2662,-33,-0.012021857923497303,NA,NA,-43,-0.015896487985212593,NA,NA
2018,2018-19,05,Burlington,3080,Medford Township School District,2660,0,48,48,2612,-52,-0.019174041297935096,NA,NA,-50,-0.018782870022539422,NA,NA
2019,2019-20,05,Burlington,3080,Medford Township School District,2655,0,38,38,2617,-5,-0.001879699248120259,NA,NA,5,0.00191424196018386,NA,NA
2020,2020-21,05,Burlington,3080,Medford Township School District,2497,0,19,19,2478,-158,-0.05951035781544256,NA,NA,-139,-0.05311425296140615,NA,NA
2021,2021-22,05,Burlington,3080,Medford Township School District,2578,0,53,53,2525,81,0.032438926712054394,NA,NA,47,0.01896690879741736,NA,NA
2022,2022-23,05,Burlington,3080,Medford Township School District,2660,0,47,47,2613,82,0.031807602792862655,-266,-0.09090909090909094,88,0.03485148514851488,-268,-0.09302325581395354
2023,2023-24,05,Burlington,3080,Medford Township School District,2727,0,82,82,2645,67,0.025187969924812093,-76,-0.02711380663574736,32,0.012246460007653948,-129,-0.046503244412400835
2012,2012-13,05,Burlington,3360,Moorestown Township Public School District,3998,0,0,0,3998,NA,NA,NA,NA,NA,NA,NA,NA
2013,2013-14,05,Burlington,3360,Moorestown Township Public School District,3959,0,0,0,3959,-39,-0.00975487743871939,NA,NA,-39,-0.00975487743871939,NA,NA
2014,2014-15,05,Burlington,3360,Moorestown Township Public School District,3924,0,58,58,3866,-35,-0.00884061631725186,NA,NA,-93,-0.023490780500126318,NA,NA
2015,2015-16,05,Burlington,3360,Moorestown Township Public School District,3881,1,45,46,3835,-43,-0.010958205912334318,NA,NA,-31,-0.008018623900672539,NA,NA
2016,2016-17,05,Burlington,3360,Moorestown Township Public School District,3868,0,20,20,3848,-13,-0.0033496521515073985,NA,NA,13,0.003389830508474523,NA,NA
2017,2017-18,05,Burlington,3360,Moorestown Township Public School District,3932,0,63,63,3869,64,0.016546018614270963,NA,NA,21,0.005457380457380534,NA,NA
2018,2018-19,05,Burlington,3360,Moorestown Township Public School District,3976,0,79,79,3897,44,0.011190233977619535,NA,NA,28,0.0072370121478417815,NA,NA
2019,2019-20,05,Burlington,3360,Moorestown Township Public School District,3955,0,66,66,3889,-21,-0.005281690140845119,NA,NA,-8,-0.0020528611752630432,NA,NA
2020,2020-21,05,Burlington,3360,Moorestown Township Public School District,3812,0,42,42,3770,-143,-0.03615676359039188,NA,NA,-119,-0.0305991257392646,NA,NA
2021,2021-22,05,Burlington,3360,Moorestown Township Public School District,3845,0,64,64,3781,33,0.008656873032528933,NA,NA,11,0.002917771883289122,NA,NA
2022,2022-23,05,Burlington,3360,Moorestown Township Public School District,3838,0,69,69,3769,-7,-0.0018205461638491904,-160,-0.04002001000500255,-12,-0.0031737635546151832,-229,-0.05727863931965982
2023,2023-24,05,Burlington,3360,Moorestown Township Public School District,3892,5,90,95,3797,54,0.014069828035435217,-67,-0.016923465521596404,28,0.007429026266914329,-162,-0.04091942409699423
2012,2012-13,05,Burlington,3430,Mount Holly Township Public School District,1021,0,57,57,964,NA,NA,NA,NA,NA,NA,NA,NA
2013,2013-14,05,Burlington,3430,Mount Holly Township Public School District,1014,0,46,46,968,-7,-0.006856023506366271,NA,NA,4,0.004149377593360981,NA,NA
2014,2014-15,05,Burlington,3430,Mount Holly Township Public School District,987,0,49,49,938,-27,-0.026627218934911268,NA,NA,-30,-0.030991735537190035,NA,NA
2015,2015-16,05,Burlington,3430,Mount Holly Township Public School District,988,43,0,43,945,1,0.0010131712259371373,NA,NA,7,0.00746268656716409,NA,NA
2016,2016-17,05,Burlington,3430,Mount Holly Township Public School District,1003,52,0,52,951,15,0.015182186234817818,NA,NA,6,0.006349206349206327,NA,NA
2017,2017-18,05,Burlington,3430,Mount Holly Township Public School District,1039,61,0,61,978,36,0.03589232303090717,NA,NA,27,0.028391167192429068,NA,NA
2018,2018-19,05,Burlington,3430,Mount Holly Township Public School District,1062,78,3,81,981,23,0.022136669874879722,NA,NA,3,0.0030674846625766694,NA,NA
2019,2019-20,05,Burlington,3430,Mount Holly Township Public School District,1047,79,1,80,967,-15,-0.01412429378531077,NA,NA,-14,-0.014271151885830835,NA,NA
2020,2020-21,05,Burlington,3430,Mount Holly Township Public School District,1029,75,0,75,954,-18,-0.017191977077363862,NA,NA,-13,-0.013443640124095158,NA,NA
2021,2021-22,05,Burlington,3430,Mount Holly Township Public School District,1056,105,0,105,951,27,0.026239067055393583,NA,NA,-3,-0.0031446540880503138,NA,NA
2022,2022-23,05,Burlington,3430,Mount Holly Township Public School District,1134,114,0,114,1020,78,0.07386363636363646,113,0.11067580803134192,69,0.0725552050473186,56,0.05809128630705396
2023,2023-24,05,Burlington,3430,Mount Holly Township Public School District,1127,121,0,121,1006,-7,-0.006172839506172867,113,0.11143984220907299,-14,-0.013725490196078383,38,0.03925619834710736
2012,2012-13,05,Burlington,3440,Mount Laurel Township School District,4125,3,60,63,4062,NA,NA,NA,NA,NA,NA,NA,NA
2013,2013-14,05,Burlington,3440,Mount Laurel Township School District,4170,0,54,54,4116,45,0.01090909090909098,NA,NA,54,0.013293943870014813,NA,NA
2014,2014-15,05,Burlington,3440,Mount Laurel Township School District,4215,0,45,45,4170,45,0.010791366906474753,NA,NA,54,0.013119533527696792,NA,NA
2015,2015-16,05,Burlington,3440,Mount Laurel Township School District,4206,17,36,53,4153,-9,-0.002135231316725994,NA,NA,-17,-0.004076738609112729,NA,NA
2016,2016-17,05,Burlington,3440,Mount Laurel Township School District,4213,16,45,61,4152,7,0.0016642891107940816,NA,NA,-1,-2.407897905128964e-4,NA,NA
2017,2017-18,05,Burlington,3440,Mount Laurel Township School District,4260,18,44,62,4198,47,0.011155945881794471,NA,NA,46,0.011078998073217772,NA,NA
2018,2018-19,05,Burlington,3440,Mount Laurel Township School District,4202,18,54,72,4130,-58,-0.013615023474178423,NA,NA,-68,-0.01619818961410191,NA,NA
2019,2019-20,05,Burlington,3440,Mount Laurel Township School District,4243,27,40,67,4176,41,0.009757258448357842,NA,NA,46,0.01113801452784502,NA,NA
2020,2020-21,05,Burlington,3440,Mount Laurel Township School District,4061,0,33,33,4028,-182,-0.04289417864718359,NA,NA,-148,-0.03544061302681989,NA,NA
2021,2021-22,05,Burlington,3440,Mount Laurel Township School District,4162,0,50,50,4112,101,0.02487072149716818,NA,NA,84,0.020854021847070525,NA,NA
2022,2022-23,05,Burlington,3440,Mount Laurel Township School District,4164,15,62,77,4087,2,4.8053820278703974e-4,39,0.009454545454545382,-25,-0.006079766536964959,25,0.00615460364352538
2023,2023-24,05,Burlington,3440,Mount Laurel Township School District,4309,329,0,329,3980,145,0.03482228626320838,139,0.03333333333333344,-107,-0.0261805725471006,-136,-0.033041788143828965
2012,2012-13,05,Burlington,3540,New Hanover Township,190,16,0,16,174,NA,NA,NA,NA,NA,NA,NA,NA
2013,2013-14,05,Burlington,3540,New Hanover Township,194,18,0,18,176,4,0.021052631578947434,NA,NA,2,0.011494252873563315,NA,NA
2014,2014-15,05,Burlington,3540,New Hanover Township,183,16,0,16,167,-11,-0.05670103092783507,NA,NA,-9,-0.051136363636363646,NA,NA
2015,2015-16,05,Burlington,3540,New Hanover Township,192,17,0,17,175,9,0.049180327868852514,NA,NA,8,0.0479041916167664,NA,NA
2016,2016-17,05,Burlington,3540,New Hanover Township,190,0,14,14,176,-2,-0.01041666666666663,NA,NA,1,0.005714285714285783,NA,NA
2017,2017-18,05,Burlington,3540,New Hanover Township,187,0,13,13,174,-3,-0.015789473684210575,NA,NA,-2,-0.011363636363636354,NA,NA
2018,2018-19,05,Burlington,3540,New Hanover Township,173,15,0,15,158,-14,-0.07486631016042777,NA,NA,-16,-0.09195402298850575,NA,NA
2019,2019-20,05,Burlington,3540,New Hanover Township,177,14,0,14,163,4,0.023121387283236983,NA,NA,5,0.03164556962025311,NA,NA
2020,2020-21,05,Burlington,3540,New Hanover Township,166,9,0,9,157,-11,-0.062146892655367214,NA,NA,-6,-0.036809815950920255,NA,NA
2021,2021-22,05,Burlington,3540,New Hanover Township,182,15,0,15,167,16,0.09638554216867479,NA,NA,10,0.06369426751592355,NA,NA
2022,2022-23,05,Burlington,3540,New Hanover Township,181,14,0,14,167,-1,-0.005494505494505475,-9,-0.047368421052631615,0,0,-7,-0.04022988505747127
2023,2023-24,05,Burlington,3540,New Hanover Township,186,15,0,15,171,5,0.027624309392265234,-8,-0.04123711340206182,4,0.0239520958083832,-5,-0.02840909090909094
2012,2012-13,05,Burlington,3650,North Hanover Township School District,1271,0,144,144,1127,NA,NA,NA,NA,NA,NA,NA,NA
2013,2013-14,05,Burlington,3650,North Hanover Township School District,1282,0,137,137,1145,11,0.008654602675058909,NA,NA,18,0.015971606033717833,NA,NA
2014,2014-15,05,Burlington,3650,North Hanover Township School District,1227,1,123,124,1103,-55,-0.04290171606864279,NA,NA,-42,-0.03668122270742358,NA,NA
2015,2015-16,05,Burlington,3650,North Hanover Township School District,1194,0,138,138,1056,-33,-0.02689486552567233,NA,NA,-47,-0.04261106074342702,NA,NA
2016,2016-17,05,Burlington,3650,North Hanover Township School District,1200,7,127,134,1066,6,0.005025125628140614,NA,NA,10,0.009469696969697017,NA,NA
2017,2017-18,05,Burlington,3650,North Hanover Township School District,1134,7,116,123,1011,-66,-0.05500000000000005,NA,NA,-55,-0.05159474671669795,NA,NA
2018,2018-19,05,Burlington,3650,North Hanover Township School District,1117,115,60,175,942,-17,-0.014991181657848296,NA,NA,-69,-0.06824925816023741,NA,NA
2019,2019-20,05,Burlington,3650,North Hanover Township School District,1199,221,0,221,978,82,0.07341092211280209,NA,NA,36,0.03821656050955413,NA,NA
2020,2020-21,05,Burlington,3650,North Hanover Township School District,1125,169,0,169,956,-74,-0.061718098415346145,NA,NA,-22,-0.02249488752556239,NA,NA
2021,2021-22,05,Burlington,3650,North Hanover Township School District,1311,249,0,249,1062,186,0.16533333333333333,NA,NA,106,0.11087866108786604,NA,NA
2022,2022-23,05,Burlington,3650,North Hanover Township School District,1422,274,0,274,1148,111,0.0846681922196797,151,0.1188040912667192,86,0.08097928436911483,21,0.01863354037267073
2023,2023-24,05,Burlington,3650,North Hanover Township School District,1422,294,0,294,1128,0,0,140,0.109204368174727,-20,-0.017421602787456414,-17,-0.014847161572052348
2012,2012-13,05,Burlington,3690,Northern Burlington County Regional School District,1987,0,0,0,1987,NA,NA,NA,NA,NA,NA,NA,NA
2013,2013-14,05,Burlington,3690,Northern Burlington County Regional School District,2085,0,0,0,2085,98,0.04932058379466531,NA,NA,98,0.04932058379466531,NA,NA
2014,2014-15,05,Burlington,3690,Northern Burlington County Regional School District,2113,0,0,0,2113,28,0.01342925659472427,NA,NA,28,0.01342925659472427,NA,NA
2015,2015-16,05,Burlington,3690,Northern Burlington County Regional School District,2047,0,0,0,2047,-66,-0.031235210601041175,NA,NA,-66,-0.031235210601041175,NA,NA
2016,2016-17,05,Burlington,3690,Northern Burlington County Regional School District,2096,0,0,0,2096,49,0.023937469467513406,NA,NA,49,0.023937469467513406,NA,NA
2017,2017-18,05,Burlington,3690,Northern Burlington County Regional School District,2169,0,0,0,2169,73,0.03482824427480913,NA,NA,73,0.03482824427480913,NA,NA
2018,2018-19,05,Burlington,3690,Northern Burlington County Regional School District,2159,0,0,0,2159,-10,-0.004610419548178868,NA,NA,-10,-0.004610419548178868,NA,NA
2019,2019-20,05,Burlington,3690,Northern Burlington County Regional School District,2167,0,0,0,2167,8,0.0037054191755443444,NA,NA,8,0.0037054191755443444,NA,NA
2020,2020-21,05,Burlington,3690,Northern Burlington County Regional School District,2146,0,0,0,2146,-21,-0.009690816797415791,NA,NA,-21,-0.009690816797415791,NA,NA
2021,2021-22,05,Burlington,3690,Northern Burlington County Regional School District,2164,0,0,0,2164,18,0.00838769804287054,NA,NA,18,0.00838769804287054,NA,NA
2022,2022-23,05,Burlington,3690,Northern Burlington County Regional School District,2130,0,0,0,2130,-34,-0.015711645101663563,143,0.07196779063915448,-34,-0.015711645101663563,143,0.07196779063915448
2023,2023-24,05,Burlington,3690,Northern Burlington County Regional School District,2101,0,0,0,2101,-29,-0.013615023474178423,16,0.00767386091127098,-29,-0.013615023474178423,16,0.00767386091127098
2012,2012-13,05,Burlington,3920,Palmyra Public School District,965,21,0,21,944,NA,NA,NA,NA,NA,NA,NA,NA
2013,2013-14,05,Burlington,3920,Palmyra Public School District,963,0,11,11,952,-2,-0.002072538860103612,NA,NA,8,0.008474576271186418,NA,NA
2014,2014-15,05,Burlington,3920,Palmyra Public School District,937,6,0,6,931,-26,-0.02699896157840087,NA,NA,-21,-0.022058823529411797,NA,NA
2015,2015-16,05,Burlington,3920,Palmyra Public School District,936,0,7,7,929,-1,-0.0010672358591248265,NA,NA,-2,-0.002148227712137518,NA,NA
2016,2016-17,05,Burlington,3920,Palmyra Public School District,884,7,3,10,874,-52,-0.05555555555555558,NA,NA,-55,-0.05920344456404736,NA,NA
2017,2017-18,05,Burlington,3920,Palmyra Public School District,909,10,3,13,896,25,0.02828054298642524,NA,NA,22,0.02517162471395884,NA,NA
2018,2018-19,05,Burlington,3920,Palmyra Public School District,925,0,9,9,916,16,0.017601760176017667,NA,NA,20,0.022321428571428603,NA,NA
2019,2019-20,05,Burlington,3920,Palmyra Public School District,917,0,9,9,908,-8,-0.008648648648648671,NA,NA,-8,-0.008733624454148492,NA,NA
2020,2020-21,05,Burlington,3920,Palmyra Public School District,930,0,12,12,918,13,0.014176663031624903,NA,NA,10,0.011013215859030812,NA,NA
2021,2021-22,05,Burlington,3920,Palmyra Public School District,971,0,17,17,954,41,0.04408602150537644,NA,NA,36,0.03921568627450989,NA,NA
2022,2022-23,05,Burlington,3920,Palmyra Public School District,985,36,0,36,949,14,0.014418125643666402,20,0.020725388601036343,-5,-0.00524109014675056,5,0.005296610169491567
