YEAR,YEAR_LONG,COUNTY_CODE,COUNTY_NAME,DISTRICT_CODE,DISTRICT_NAME,TOTAL_ENROLLMENT,CHG,PCT_CHG,CHG_10Y,PCT_CHG_10Y
2019,2019-20,01,Atlantic,3020,Margate City,360,10,0.02857142857142847,NA,NA
2020,2020-21,01,Atlantic,3020,Margate City School District,382,22,0.061111111111111116,NA,NA
2021,2021-22,01,Atlantic,3020,Margate City School District,360,-22,-0.05759162303664922,NA,NA
2022,2022-23,01,Atlantic,3020,Margate City School District,336,-24,-0.06666666666666665,-120,-0.26315789473684215
2013,2013-14,01,Atlantic,3480,Mullica Twp,757,NA,NA,NA,NA
2014,2014-15,01,Atlantic,3480,Mullica Twp,774,17,0.022457067371202122,NA,NA
2015,2015-16,01,Atlantic,3480,Mullica Twp,743,-31,-0.040051679586563305,NA,NA
2016,2016-17,01,Atlantic,3480,Mullica Twp,729,-14,-0.018842530282637937,NA,NA
2017,2017-18,01,Atlantic,3480,Mullica Twp,712,-17,-0.023319615912208547,NA,NA
2018,2018-19,01,Atlantic,3480,Mullica Twp,697,-15,-0.021067415730337102,NA,NA
2019,2019-20,01,Atlantic,3480,Mullica Twp,705,8,0.011477761836441891,NA,NA
2020,2020-21,01,Atlantic,3480,Mullica Township School District,651,-54,-0.07659574468085106,NA,NA
2021,2021-22,01,Atlantic,3480,Mullica Township School District,627,-24,-0.03686635944700456,NA,NA
2022,2022-23,01,Atlantic,3480,Mullica Township School District,636,9,0.014354066985645897,-121,-0.1598414795244386
2013,2013-14,01,Atlantic,3720,Northfield City,980,NA,NA,NA,NA
2014,2014-15,01,Atlantic,3720,Northfield City,927,-53,-0.05408163265306121,NA,NA
2015,2015-16,01,Atlantic,3720,Northfield City,908,-19,-0.02049622437971954,NA,NA
2016,2016-17,01,Atlantic,3720,Northfield City,919,11,0.012114537444933848,NA,NA
2017,2017-18,01,Atlantic,3720,Northfield City,909,-10,-0.01088139281828071,NA,NA
2018,2018-19,01,Atlantic,3720,Northfield City,914,5,0.005500550055005604,NA,NA
2019,2019-20,01,Atlantic,3720,Northfield City,935,21,0.02297592997811826,NA,NA
2020,2020-21,01,Atlantic,3720,Northfield City School District,907,-28,-0.029946524064171087,NA,NA
2021,2021-22,01,Atlantic,3720,Northfield City School District,930,23,0.025358324145534628,NA,NA
2022,2022-23,01,Atlantic,3720,Northfield City School District,923,-7,-0.007526881720430145,-57,-0.05816326530612248
2013,2013-14,01,Atlantic,4180,Pleasantville City,3769,NA,NA,NA,NA
2014,2014-15,01,Atlantic,4180,Pleasantville City,3866,97,0.025736269567524506,NA,NA
2015,2015-16,01,Atlantic,4180,Pleasantville City,3608,-258,-0.06673564407656496,NA,NA
2016,2016-17,01,Atlantic,4180,Pleasantville City,3562,-46,-0.012749445676274895,NA,NA
2017,2017-18,01,Atlantic,4180,Pleasantville City,3505,-57,-0.016002245929253256,NA,NA
2018,2018-19,01,Atlantic,4180,Pleasantville City,3501,-4,-0.001141226818830221,NA,NA
2019,2019-20,01,Atlantic,4180,Pleasantville City,3492,-9,-0.0025706940874036244,NA,NA
2020,2020-21,01,Atlantic,4180,Pleasantville Public School District,3531,39,0.011168384879725046,NA,NA
2021,2021-22,01,Atlantic,4180,Pleasantville Public School District,3669,138,0.03908241291418868,NA,NA
2022,2022-23,01,Atlantic,4180,Pleasantville Public School District,3761,92,0.025074952303079767,-8,-0.0021225789334040623
2013,2013-14,01,Atlantic,4240,Port Republic City,126,NA,NA,NA,NA
2014,2014-15,01,Atlantic,4240,Port Republic City,130,4,0.031746031746031855,NA,NA
2015,2015-16,01,Atlantic,4240,Port Republic City,123,-7,-0.05384615384615388,NA,NA
2016,2016-17,01,Atlantic,4240,Port Republic City,118,-5,-0.04065040650406504,NA,NA
2017,2017-18,01,Atlantic,4240,Port Republic City,114,-4,-0.03389830508474578,NA,NA
2018,2018-19,01,Atlantic,4240,Port Republic City,101,-13,-0.11403508771929827,NA,NA
2019,2019-20,01,Atlantic,4240,Port Republic City,104,3,0.02970297029702973,NA,NA
2020,2020-21,01,Atlantic,4240,Port Republic School District,105,1,0.009615384615384581,NA,NA
2021,2021-22,01,Atlantic,4240,Port Republic School District,111,6,0.05714285714285716,NA,NA
2022,2022-23,01,Atlantic,4240,Port Republic School District,108,-3,-0.027027027027026973,-18,-0.1428571428571429
2013,2013-14,01,Atlantic,4800,Somers Point City,1068,NA,NA,NA,NA
2014,2014-15,01,Atlantic,4800,Somers Point City,1016,-52,-0.048689138576779034,NA,NA
2015,2015-16,01,Atlantic,4800,Somers Point City,997,-19,-0.01870078740157477,NA,NA
2016,2016-17,01,Atlantic,4800,Somers Point City,945,-52,-0.052156469408224715,NA,NA
2017,2017-18,01,Atlantic,4800,Somers Point City,926,-19,-0.02010582010582007,NA,NA
2018,2018-19,01,Atlantic,4800,Somers Point City,882,-44,-0.04751619870410362,NA,NA
2019,2019-20,01,Atlantic,4800,Somers Point City,854,-28,-0.031746031746031744,NA,NA
2020,2020-21,01,Atlantic,4800,Somers Point School District,787,-67,-0.07845433255269318,NA,NA
2021,2021-22,01,Atlantic,4800,Somers Point School District,787,0,0,NA,NA
2022,2022-23,01,Atlantic,4800,Somers Point School District,741,-46,-0.05844980940279543,-327,-0.3061797752808989
2013,2013-14,01,Atlantic,5350,Ventnor City,818,NA,NA,NA,NA
2014,2014-15,01,Atlantic,5350,Ventnor City,778,-40,-0.0488997555012225,NA,NA
2015,2015-16,01,Atlantic,5350,Ventnor City,753,-25,-0.03213367609254503,NA,NA
2016,2016-17,01,Atlantic,5350,Ventnor City,700,-53,-0.07038512616201864,NA,NA
2017,2017-18,01,Atlantic,5350,Ventnor City,665,-35,-0.050000000000000044,NA,NA
2018,2018-19,01,Atlantic,5350,Ventnor City,662,-3,-0.004511278195488688,NA,NA
2019,2019-20,01,Atlantic,5350,Ventnor City,641,-21,-0.031722054380664666,NA,NA
2020,2020-21,01,Atlantic,5350,Ventnor City School District,618,-23,-0.03588143525741028,NA,NA
2021,2021-22,01,Atlantic,5350,Ventnor City School District,568,-50,-0.08090614886731395,NA,NA
2022,2022-23,01,Atlantic,5350,Ventnor City School District,508,-60,-0.10563380281690138,-310,-0.37897310513447435
2013,2013-14,01,Atlantic,5760,Weymouth Twp,192,NA,NA,NA,NA
2014,2014-15,01,Atlantic,5760,Weymouth Twp,181,-11,-0.05729166666666663,NA,NA
2015,2015-16,01,Atlantic,5760,Weymouth Twp,169,-12,-0.06629834254143652,NA,NA
2016,2016-17,01,Atlantic,5760,Weymouth Twp,155,-14,-0.08284023668639051,NA,NA
2017,2017-18,01,Atlantic,5760,Weymouth Twp,153,-2,-0.012903225806451646,NA,NA
2018,2018-19,01,Atlantic,5760,Weymouth Twp,165,12,0.07843137254901955,NA,NA
2019,2019-20,01,Atlantic,5760,Weymouth Twp,154,-11,-0.06666666666666665,NA,NA
2020,2020-21,01,Atlantic,5760,Weymouth Township School District,143,-11,-0.0714285714285714,NA,NA
2021,2021-22,01,Atlantic,5760,Weymouth Township School District,162,19,0.13286713286713292,NA,NA
2022,2022-23,01,Atlantic,5760,Weymouth Township School District,156,-6,-0.03703703703703709,-36,-0.1875
2013,2013-14,03,Bergen,0040,Allendale Boro,898,NA,NA,NA,NA
2014,2014-15,03,Bergen,0040,Allendale Boro,901,3,0.0033407572383072903,NA,NA
2015,2015-16,03,Bergen,0040,Allendale Boro,904,3,0.0033296337402886067,NA,NA
2016,2016-17,03,Bergen,0040,Allendale Boro,911,7,0.007743362831858391,NA,NA
2017,2017-18,03,Bergen,0040,Allendale Boro,913,2,0.002195389681668436,NA,NA
2018,2018-19,03,Bergen,0040,Allendale Boro,874,-39,-0.042716319824753546,NA,NA
2019,2019-20,03,Bergen,0040,Allendale Boro,862,-12,-0.013729977116704761,NA,NA
2020,2020-21,03,Bergen,0040,Allendale Public School District,849,-13,-0.015081206496519672,NA,NA
2021,2021-22,03,Bergen,0040,Allendale Public School District,877,28,0.03297997644287398,NA,NA
2022,2022-23,03,Bergen,0040,Allendale Public School District,906,29,0.033067274800456126,8,0.008908685968819663
2013,2013-14,03,Bergen,0080,Alpine Boro,163,NA,NA,NA,NA
2014,2014-15,03,Bergen,0080,Alpine Boro,155,-8,-0.049079754601227044,NA,NA
2015,2015-16,03,Bergen,0080,Alpine Boro,153,-2,-0.012903225806451646,NA,NA
2016,2016-17,03,Bergen,0080,Alpine Boro,160,7,0.045751633986928164,NA,NA
2017,2017-18,03,Bergen,0080,Alpine Boro,148,-12,-0.07499999999999996,NA,NA
2018,2018-19,03,Bergen,0080,Alpine Boro,135,-13,-0.08783783783783783,NA,NA
2019,2019-20,03,Bergen,0080,Alpine Boro,153,18,0.1333333333333333,NA,NA
2020,2020-21,03,Bergen,0080,Alpine School District,151,-2,-0.013071895424836555,NA,NA
2021,2021-22,03,Bergen,0080,Alpine School District,156,5,0.0331125827814569,NA,NA
2022,2022-23,03,Bergen,0080,Alpine School District,165,9,0.05769230769230771,2,0.012269938650306678
2013,2013-14,03,Bergen,0285,Bergen Co Special Service,707.5,NA,NA,NA,NA
2014,2014-15,03,Bergen,0285,Bergen Co Special Service,729.5,22,0.03109540636042407,NA,NA
2015,2015-16,03,Bergen,0285,Bergen Co Special Service,734.5,5,0.006854009595613331,NA,NA
2016,2016-17,03,Bergen,0285,Bergen Co Special Service,746.5,12,0.016337644656228667,NA,NA
2017,2017-18,03,Bergen,0285,Bergen Co Special Service,698,-48.5,-0.06496985934360344,NA,NA
2018,2018-19,03,Bergen,0285,Bergen Co Special Service,659,-39,-0.055873925501432664,NA,NA
2019,2019-20,03,Bergen,0285,Bergen Co Special Service,665,6,0.009104704097116834,NA,NA
2020,2020-21,03,Bergen,0285,Bergen County Special Services School District,688,23,0.03458646616541361,NA,NA
2021,2021-22,03,Bergen,0285,Bergen County Special Services School District,632,-56,-0.08139534883720934,NA,NA
2022,2022-23,03,Bergen,0285,Bergen County Special Services School District,645,13,0.020569620253164667,-62.5,-0.08833922261484095
2013,2013-14,03,Bergen,0290,Bergen County Vocational,2145.5,NA,NA,NA,NA
2014,2014-15,03,Bergen,0290,Bergen County Vocational,2107,-38.5,-0.01794453507340943,NA,NA
2015,2015-16,03,Bergen,0290,Bergen County Vocational,2153,46,0.021831988609397168,NA,NA
2016,2016-17,03,Bergen,0290,Bergen County Vocational,2221.5,68.5,0.031816070599163915,NA,NA
2017,2017-18,03,Bergen,0290,Bergen County Vocational,2277.5,56,0.025208192662615314,NA,NA
